Initial name,University,GPA,Loan rate,Enrollment,Endowment,Graduation rate,SAT,Accept ratio,Tuition,Public/Private,Money_used
Harvard,Harvard University,4,0.463391137,6710,35495355,0.86,1497,0.05,48949,0,2
UTAustin,University of Texas Austin,3.75,0.80692959,40168,29041575,0.55,1297,0.4,10136,1,0
Yale,Yale University,3.87,0.477272727,5472,25490350,0.86,1498,0.06,51400,0,2
Princeton,Princeton University,3.9,0.267241379,5400,22438026.5,0.89,1490,0.07,47140,0,2
Stanford,Stanford University,3.9,0.462721894,7034,22310543.5,0.75,1479,0.05,49617,0,2
BYU,Brigham Young University,3.8,0.493503937,30979,15350000,0.29,1290,0.51,5460,0,0
MIT,Massachusetts Institute of Technology,3.92,0.577142857,4524,13328129,0.84,1507,0.08,49892,0,2
Upenn,University of Pennsylvania,3.9,0.68252149,10019,10424466.5,0.85,1457,0.09,53534,0,2
Northwestern,Northwestern University,4,0.781656805,8353,9920767,0.84,1460,0.11,52678,0,2
Umich,University of Michigan,3.8,0.811149228,28983,9847787,0.76,1384,0.29,14826,1,1
Columbia,Columbia University,4,0.702791461,6113,9340046,0.86,1473,0.06,57208,0,2
ND,University of Notre Dame,3.89,0.852300242,8530,8470517.5,0.9,1455,0.19,51505,0,2
Berkeley,"University of California, Berkeley",3.9,0.67008135,29311,8169086,0.76,1397,0.16,14098,1,1
UChicago,University of Chicago,4,0.660377359,5941,7275457,0.89,1506,0.08,54825,0,2
Duke,Duke University,3.91,0.88019802,6609,7068162.5,0.86,1450,0.11,53744,0,2
Wustl,Washington University in St. Louis,3.87,0.745689655,7540,6640232.5,0.88,1469,0.17,51533,0,2
Emory,Emory University,3.7,0.87917967,6861,6542977.5,0.85,1366,0.25,49392,0,2
Cornell,Cornell University,3.86,0.804725306,14566,5897634,0.87,1428,0.14,52853,0,2
Rice,Rice University,3.89,0.672413793,3893,5440884,0.83,1482,0.15,45608,0,2
USC,University of Southern California,3.9,0.858007566,18794,4659112.5,0.77,1391,0.17,54259,0,2
Dartmouth ,Dartmouth College,3.89,0.805755396,4310,4568947.5,0.88,1437,0.11,52950,0,2
Vanderbilt ,Vanderbilt University,3.8,0.563872256,6871,3977864.5,0.87,1498,0.11,47664,0,2
PSU,Pennsylvania State University-University Park,3.6,0.914684449,41359,3619021,0.68,1094,0.56,18436,1,0
OSU,Ohio State University--Columbus,3.8,0.866984222,45831,3606224.5,0.59,1295,0.54,10591,1,0
Pitt,University of Pittsburgh,4,0.952991453,19123,3556839.5,0.64,1201,0.55,19080,1,0
NYU,New York University,3.6,0.854227833,26135,3531941,0.82,1360,0.32,50464,0,2
JHU,Johns Hopkins University,3.9,0.899073121,6117,3396949,0.88,1453,0.12,52170,0,2
UMN,University of Minnesota-Twin Cities,3.73,0.885806705,34871,3289070.5,0.61,1285,0.44,14417,1,0
Washington,University of Washington,3.75,0.740981364,30933,3022119.5,0.65,1223,0.45,10974,1,0
Brown,Brown University,3.89,0.715824358,6926,3018357.5,0.84,1457,0.09,53419,0,2
UNC,University of North Carolina-Chapel Hill,4,0.703492064,18523,2939242.5,0.84,1343,0.27,9005,1,2
Wisc,University of Wisconsin--Madison,3.8,0.854089904,31710,2442106,0.57,1300,0.53,10533,1,1
Uiuc,University of Illinois--Urbana-Champaign,3.8,0.869190632,33932,2339732,0.7,1305,0.6,15868,1,1
Purdue,Purdue University--West Lafayette,3.7,0.796935395,30043,2326221.5,0.49,1231,0.56,10002,1,0
Williams,Williams College,3.86,0.653669725,2076,2325630,0.86,1442,0.18,53550,0,2
Richmond,University of Richmond,3.83,0.882491187,3036,2280678,0.84,1337,0.32,50910,0,0
MSU,Michigan State University,3.7,0.892853726,39090,2249782,0.52,1159,0.66,14460,1,0
Caltech,California Institute of Technology,3.93,0.483870968,979,2152805.5,0.81,1544,0.08,49908,0,2
BC,Boston College,3.9,0.959557053,9309,2141950,0.89,1380,0.31,53346,0,2
Amherst,Amherst College,4,0.5,1849,2112677,0.86,1451,0.14,54310,0,2
Pomona,Pomona College,4,0.472924188,1660,2041817.5,0.92,1435,0.09,51075,0,1
Rochester,University of Rochester,3.8,0.948364888,6386,1988886,0.74,1410,0.38,52020,0,2
Indiana,Indiana University--Bloomington,3.7,0.862080425,39184,1980339.5,0.6,1199,0.79,10533,1,0
Gatech,Georgia Institute of Technology,3.9,0.806637807,15489,1851370.5,0.41,1403,0.26,12418,1,2
UCLA,University of California--Los Angeles,3.9,0.721800948,30873,1834138,0.74,1339,0.18,13256,1,2
Wellesley,Wellesley College,3.98,0.695652174,2347,1818991,0.83,1369,0.29,51148,0,2
Swarthmore ,Swarthmore College,3.89,0.569230769,1543,1796380.5,0.88,1431,0.13,50822,0,2
CMU,Carnegie Mellon University,3.8,0.948436179,6673,1724046,0.75,1448,0.22,53910,0,2
CWRU,Case Western Reserve University,3.71,0.935986159,5152,1719369,0.64,1398,0.35,47500,0,2
Grinnell,Grinnell College,4,0.890322581,1699,1718279,0.81,1402,0.2,50464,0,0
Smith,Smith College,3.9,0.912258065,2514,1704616,0.86,1410,0.37,50044,0,1
BU,Boston University,3.6,0.942863917,17944,1649324,0.81,1303,0.29,52082,0,2
VCU,Virginia Commonwealth University,3.6,0.918642874,24212,1599010.5,0.36,1097,0.75,13570,1,0
GWU,George Washington University,3.8,0.93646978,11504,1593317.5,0.76,1294,0.4,53518,0,1
Tufts,Tufts University,4,0.749235474,5508,1577993.5,0.87,1424,0.14,54318,0,2
OU,University of Oklahoma,3.6,0.834136484,22436,1521689,0.4,1204,0.71,9062,1,0
UFL,University of Florida,4,0.656118825,34554,1508525,0.67,1272,0.46,6381,1,2
UNL,University of Nebraska,3.5,0.862807525,20833,1506580.5,0.36,1145,0.75,8690,1,0
Georgetown,Georgetown University,3.89,0.856421356,7453,1506185.5,0.9,1416,0.17,52300,0,2
KU,University of Kansas,3.6,0.897549094,19262,1487780,0.41,1145,0.93,10824,1,0
TCU,Texas Christian University,3.58,0.852135816,8891,1475097.5,0.63,1220,0.38,44760,0,1
WLU,Washington and Lee University,3.87,0.820143885,1830,1471879.5,0.88,1395,0.24,51148,0,2
Missouri,University of Missouri ,3.54,0.903946125,25898,1468475,0.44,1203,0.78,10716,1,0
SMU,Southern Methodist University,3.7,0.882629108,6521,1444638.5,0.68,1330,0.49,52498,0,1
Bowdoin,Bowdoin College,3.8,0.680781759,1806,1366370.5,0.89,1505,0.15,51848,0,2
Udel,University of Delaware,3.7,0.933625337,18374,1301581.5,0.71,1198,0.65,12830,1,1
Uiowa,University of Iowa,3.6,0.906870639,24476,1261176,0.51,1164,0.84,8575,1,1
UA,University of Alabama,3.7,0.916921732,32563,1229867.5,0.44,1181,0.53,10780,1,0
Tulane,Tulane University,3.5,0.910854746,6377,1195889,0.72,1346,0.26,52960,0,2
Lehigh,Lehigh University,3.8,0.96064257,5080,1187959,0.77,1338,0.26,50740,0,2
UC,University of Cincinnati,3.6,0.873255814,25860,1180710.5,0.31,1165,0.76,11000,1,0
Syrcuse,Syracuse University,3.7,0.943580631,15218,1161468.5,0.69,1195,0.52,46755,0,2
Bayor,Baylor University,3.64,0.911802192,14348,1156261,0.58,1239,0.4,43790,0,1
WFU,Wake Forest University,3.88,0.889585947,4955,1154305.5,0.84,1380,0.3,51400,0,2
TTU,Texas Tech University,3.5,0.861022998,29963,1152364.5,0.34,1134,0.63,10771,1,0
UKY,University of Kentucky,3.7,0.884839839,22621,1130287,0.38,1143,0.91,11922,1,0
UTK,University of Tennessee,3.9,0.818227467,22139,1103279,0.43,1214,0.77,12970,1,0
Colorado,University of Colorado--Boulder,3.7,0.871927352,27846,1076480.5,0.47,1212,0.77,11531,1,1
Berea ,Berea College,3.5,0.162031439,1665,1076078,0.48,1117,0.33,25200,0,0
SLU,Saint Louis University,3.9,0.91691023,7454,1073191.5,0.66,1257,0.65,42166,0,1
Middlebury,Middlebury College,3.95,0.847985348,2532,1050826,0.85,1383,0.16,52496,0,2
Utah,University of Utah,3.55,0.75,23789,1049846.5,0.29,1130,0.76,9166,1,0
Rutgers ,Rutgers University  New Brunswick,3.66,0.859842698,36168,1042817,0.59,1187,0.57,14372,1,2
UGA,University of Georgia,3.86,0.842574126,27951,1010859.5,0.63,1252,0.54,11818,1,2
Utulsa,University of Tulsa,3.9,0.823855756,3406,997346,0.58,1295,0.37,39502,0,2
NCSU,North Carolina State University,3.7,0.862527716,23847,991289.5,0.48,1264,0.46,9058,1,2
UMD,University of Maryland,4,0.815631542,28472,977554.5,0.69,1315,0.48,10399,1,2
Vassar,Vassar College,3.8,0.719054242,2424,955893,0.87,1405,0.27,55210,0,2
Uark,University of Arkansas,3.7,0.860137852,22548,923793.5,0.42,1154,0.63,9062,1,0
WSU,Washington State University,3.4,0.832986905,24904,896802.5,0.41,1039,0.72,11391,1,0
Brandeis,Brandeis University,3.9,0.943052392,3608,890932.5,0.83,1360,0.33,53582,0,2
Miami,University of Miami,4,0.865499573,10849,865986,0.7,1319,0.38,48484,0,2
Okstate,Oklahoma State University,3.5,0.804196796,21093,862276.5,0.39,1118,0.75,8738,1,0
Colgate,Colgate University,3.7,0.858299595,2882,856953,0.85,1374,0.29,53980,0,2
Yeshiva,Yeshiva University,3.5,0.675084175,2714,847148,0.71,1229,0.51,42000,0,2
Hamilton,Hamilton College,3.97,0.90521327,1879,836638.5,0.89,1445,0.26,52770,0,1
BrynMawr,Bryn Mawr College,3.88,0.957627119,1381,825053,0.78,1346,0.4,50500,0,0
LSU,Louisiana State University--Baton Rouge,3.4,0.906122449,26118,816833,0.42,1210,0.76,11374,1,0
WM,College of William and Mary,4,0.840271878,6276,807457.5,0.85,1353,0.37,20287,1,2
Oberlin,Oberlin College,3.6,0.946202532,2895,801326.5,0.72,1357,0.28,53460,0,1
Pepperdine,Pepperdine University,3.59,0.92257361,3542,793247.5,0.76,1226,0.37,51992,0,2
Wesleyan,Wesleyan University,3.73,0.741590214,2971,790069.5,0.87,1425,0.18,52474,0,2
Louisville,University of Louisville,3.5,0.809320527,15827,779988.5,0.28,1159,0.73,11264,1,0
Iastate,Iowa State University,3.6,0.916984925,30671,773333,0.44,1142,0.87,8420,1,1
Houston,University of Houston,3.53,0.721655066,35871,768190.5,0.23,1154,0.59,11887,1,0
Arizona,University of Arizona,3.42,0.804612821,34072,761295.5,0.42,1165,0.79,11644,1,0
Carleton,Carleton College,4,0.875338753,2105,760796,0.88,1400,0.23,52782,0,2
Denison ,Denison University,3.6,0.946791862,2277,756640.5,0.79,1345,0.44,50440,0,0
Bucknell ,Bucknell University,3.5,0.949790795,3571,755889.5,0.84,1315,0.3,53986,0,1
Lafayette ,Lafayette College,3.5,0.936363636,2550,755398.5,0.85,1294,0.28,50850,0,0
UMB,University of Massachusetts--Boston,3.3,0.811498065,12847,752194,0.18,1055,0.69,13828,1,0
RIT,Rochester Institute of Technology,3.6,0.941668326,12410,751806.5,0.29,1251,0.55,40068,0,2
Uoregon,University of Oregon,3.6,0.85971159,20049,738901.5,0.5,1119,0.78,11571,1,2
Macalester,Macalester College,3.89,0.93902439,2146,731103.5,0.84,1358,0.37,52464,0,2
Colby ,Colby College,3.9,0.809688581,1879,728308,0.84,1363,0.19,53120,0,2
CMC,Claremont McKenna College,4,0.815315315,1347,721488.5,0.86,1408,0.09,52825,0,2
Northeastern ,Northeastern University,4,0.919291791,13473,711212.5,0.82,1435,0.29,49497,0,2
Coloradocollege,Colorado College,3.85,0.803370787,2101,701655,0.82,1400,0.17,53238,0,2
Holycross,College of the Holy Cross,3.05,0.947916667,2941,701151.5,0.89,1375,0.38,50630,0,2
MHC,Mount Holyoke College,3.8,0.958598726,2199,683949.5,0.78,1410,0.52,47940,0,1
Howard ,Howard University,3.5,0.833219878,5899,672702.5,0.39,1105,0.3,25697,0,2
Davidson ,Davidson College,3.9,0.72299169,1796,672213,0.9,1355,0.2,49949,0,2
Stjohns,St. John's University,3.5,0.878355547,16440,664659,0.37,1080,0.63,40790,0,0
UNH,University of New Hampshire,3.5,0.967109867,12871,663806.5,0.67,1107,0.76,18067,1,2
Drexel,Drexel University,3.7,0.937676583,13251,659319,0.68,1214,0.75,52002,0,2
RPI,Rensselaer Polytechnic Institute,3.9,0.979524073,6265,655731,0.61,1368,0.44,52305,0,2
Auburn ,Auburn University,3.9,0.881522166,22658,644308.5,0.47,1218,0.81,10968,1,2
SC,University of South Carolina,3.85,0.987315011,25556,640327.5,0.54,1275,0.68,12262,1,2
Fordham,Fordham University,3.59,0.88200313,9258,640201.5,0.74,1273,0.45,50601,0,2
Clemson,Clemson University,4,0.909807559,18599,634952.5,0.59,1275,0.51,14712,1,2
DePauw,DePauw University,3.8,0.935042735,2225,629177.5,0.78,1208,0.78,47838,0,0
ASU,Arizona State University--Tempe,3.6,0.82113393,42477,627889,0.49,1143,0.83,10792,1,2
Furman,Furman University,3.64,0.919175911,2797,620564,0.78,1310,0.68,48348,0,0
DU,University of Denver--Colorado Seminary,3.7,0.894035533,5754,620064.5,0.66,1249,0.53,48669,0,2
Buffalo,University at Buffalo,3.6,0.860277886,20411,610128.5,0.58,1173,0.59,9770,1,2
Laverne,University of La Verne,3.5,0.844964029,2809,605762.5,0.48,1034,0.48,41450,0,0
Olemiss,University of Mississippi,3.6,0.861093144,19213,604633,0.37,1118,0.78,8290,1,1
FSU,Florida State University,3.85,0.754757301,32929,594902,0.61,1215,0.58,6507,1,2
American,American University,3.7,0.948698316,7901,588627.5,0.76,1252,0.26,46615,0,2
Villanova ,Villanova University,3.86,0.964966512,6999,552447.5,0.86,1326,0.44,51434,0,2
Marquette ,Marquette University,3.57,0.911838791,8238,550832,0.6,1219,0.74,39900,0,2
Trinity,Trinity College,3.7,0.865758755,2259,543220.5,0.8,1325,0.34,54770,0,1
UCSD,University of California--San Diego,4,0.754217901,28127,542225.5,0.59,1344,0.36,16183,1,2
LUC,Loyola University Chicago,3.7,0.914667897,11129,539013,0.65,1195,0.73,42828,0,2
WVU,West Virginia University,3.5,0.88402379,22350,522491.5,0.32,1073,0.76,8376,1,1
Reed,Reed College,3.9,0.928961749,1427,520856,0.86,1383,0.35,52150,0,0
UCI,University of California--Irvine,4,0.722222222,27331,505537.5,0.71,1175,0.41,15516,1,2
Oregonstate,Oregon State University,3.7,0.869253528,25327,498957.5,0.33,1112,0.77,10797,1,1
Whitman ,Whitman College,3.7,0.92879257,1493,496224,0.83,1314,0.51,49780,0,2
Ohio,Ohio University,3.5,0.876355594,23788,494383,0.46,1108,0.75,11896,1,1
Udayton,University of Dayton,3.7,0.958478851,8330,486764.5,0.58,1187,0.6,41750,0,2
Haverford,Haverford College,4,0.655172414,1268,483394,0.86,1433,0.21,52754,0,2
K-state,Kansas State University,3.5,0.893984608,19472,482276.5,0.31,1160,0.94,9874,1,2
Sandiego,University of San Diego,3.9,0.914923292,5711,459889.5,0.66,1236,0.51,47708,0,2
Miamioh,Miami University--Oxford,3.63,0.889264582,16981,453537.5,0.66,1259,0.8,14578,1,2
WPI,Worcester Polytechnic Institute,3.8,0.986745214,4432,451093.5,0.8,1380,0.48,48628,0,2
Stolaf,St. Olaf College,3.6,0.95361991,3040,447320.5,0.85,1282,0.45,46000,0,1
Msstate,Mississippi State University,3.4,0.854626912,18090,446795.5,0.32,1140,0.71,8138,1,1
Stthomas,University of St. Thomas,3.6,0.952882483,6111,442846.5,0.62,1202,0.83,41133,0,2
Temple,Temple University,3.6,0.93965017,29275,440208.5,0.44,1195,0.52,16274,1,2
Wyoming,University of Wyoming,3.5,0.818088033,9788,433777.5,0.27,1122,0.95,5217,1,1
VMI,Virginia Military Institute,3.6,0.952554745,1713,433440.5,0.64,1139,0.51,18214,1,0
DePaul,DePaul University,3.6,0.910606542,15407,429124.5,0.59,1185,0.7,39010,0,2
Hofstra ,Hofstra University,3.6,0.929640719,6899,414802,0.53,1210,0.62,43960,0,2
Union,Union College,3.4,0.937625755,2203,410756,0.81,970,0.37,53490,0,2
USF,University of South Florida,3.9,0.732174385,31461,406369.5,0.44,1167,0.47,6410,1,2
Wheaton,Wheaton College,3.7,0.92972973,2456,398823,0.82,1314,0.68,35190,0,1
UNM,University of New Mexico,3.3,0.532801418,20215,398455,0.23,1040,0.47,7150,1,2
Dickinson,Dickinson College,3.78,0.966183575,2420,398049.5,0.81,1360,0.48,52930,0,2
Earlham,Earlham College,3.7,0.92238806,1031,394826,0.65,1315,0.58,45750,0,0
Clark,Clark University,3.7,0.953692115,2289,388410,0.71,1335,0.55,44400,0,2
Occidental,Occidental College,3.6,0.918544194,2062,381923.5,0.76,1304,0.46,52838,0,2
Uconn,University of Connecticut,3.67,0.874763288,19324,380160,0.7,1233,0.49,14880,1,2
Pacific,University of the Pacific,3.5,0.912317328,3483,379057.5,0.5,1152,0.66,46346,0,2
Quinnipiac,Quinnipiac University,3.4,0.976190476,7099,377919.5,0.69,1095,0.76,46780,0,0
Sewanee,University of the South,3.7,0.882926829,1731,367797.5,0.79,1295,0.44,45120,0,2
Spelman,Spelman College,3.5,0.920197044,2125,354886.5,0.71,1015,0.53,28181,0,2
Wasbash,Wabash College,3.7,0.960212202,843,341020,0.64,1145,0.63,42250,0,2
WMU,Western Michigan University,3.3,0.914032698,18313,337755,0.22,1030,0.82,11943,1,2
Skidmore,Skidmore College,3.68,0.925233645,2680,335776,0.85,1239,0.29,52446,0,2
Newschool,The New School,3.3,0.909277294,7014,334584,0.53,1200,0.6,47330,0,2
UCDavis,University of California--Davis,4,0.747367229,29546,330564.5,0.55,1226,0.42,14382,1,2
Rhodes ,Rhodes College,3.9,0.92519685,1999,329070.5,0.77,1306,0.54,46504,0,2
Fandm,Franklin and Marshall College,3.81,0.944816054,2255,320093,0.83,1375,0.36,54380,0,2
USU,Utah State University,3.46,0.669511902,24838,319987.5,0.23,1084,0.9,7174,1,2
PugetSound,University of Puget Sound,3.6,0.961176471,2508,316018.5,0.7,1290,0.79,48090,0,2
Catholic,The Catholic University of America,3.33,0.955819881,3241,315306.5,0.62,1195,0.8,44060,0,2
Fairfield,Fairfield University,3.5,0.956451613,4032,313656.5,0.78,1270,0.61,47165,0,0
USF,University of San Francisco,3.4,0.922339406,6745,307343.5,0.62,1172,0.71,46250,0,2
UNR,University of Nevada--Reno,3.6,0.767055729,18191,304642.5,0.23,1084,0.83,7599,1,2
Wayne,Wayne State University,3.4,0.811167652,17280,303894.5,0.13,1070,0.68,13278,1,2
Scripps ,Scripps College,4,0.912280702,1039,300516,0.8,1362,0.3,52966,0,2
UAA,University of Alaska,3.3,0.663585003,7239,297936.5,0.15,1058,0.73,8144,1,2
Barnard ,Barnard College,3.8,0.876122083,2588,291639.5,0.83,1357,0.17,52662,0,2
Colostate,Colorado State University,3.6,0.876653136,25177,283851.5,0.42,1145,0.85,11632,1,2
Emerson,Emerson College,3.7,0.974928367,3790,277671,0.77,1211,0.48,42908,0,2
Ithaca ,Ithaca College,3.59,0.964579901,6221,277671,0.66,1265,0.7,42884,0,1
Bentley ,Bentley University,3.66,0.963917526,4222,249287,0.83,1244,0.46,48000,0,0
SJU,St. Joseph's University,3.6,0.969420601,5377,209043,0.72,1210,0.78,43880,0,0
Loyola,Loyola University Maryland,3.4,0.966492926,4104,199530,0.76,1270,0.66,47725,0,0
Providence,Providence College,3.4,0.971287941,4270,198600,0.81,1235,0.55,48760,0,0
Simmons,Simmons College,3.4,0.952380952,1801,185790.5,0.68,1163,0.64,38590,0,0
Gallaudet,Gallaudet University,3.2,0.660674157,1121,177013,0.2,883,0.66,16558,0,1
Scranton,University of Scranton,3.5,0.969278997,3867,167536.5,0.72,1134,0.75,43310,0,2
Bryant ,Bryant University,3.5,0.96969697,3462,164350.5,0.73,1230,0.69,42109,0,0
Lemoyne,Le Moyne College,3.5,0.95059151,2897,159158.5,0.58,1073,0.66,33905,0,2
Oneonta,SUNY College--Oneonta,3.6,0.937354086,5730,155900,0.58,1087,0.53,7936,1,0
Baruch,CUNY--Baruch College,3.3,0.226541096,15210,147900,0.38,1230,0.31,7551,1,2
Sacredheart,Sacred Heart University,3.5,0.961982059,5428,141168.5,0.54,1180,0.57,39820,0,2
Canisius,Canisius College,3.6,0.93122172,2595,109696.5,0.64,1078,0.78,36454,0,2
Alfred,Alfred University,3.3,0.96895075,1815,106906,0.43,1057,0.63,32264,0,2
Hunter,CUNY--Hunter College,3.3,0.225795811,16723,105700,0.24,1165,0.38,6780,1,0
NYIT,New York Institute of Technology,3.4,0.818360656,3575,103400,0.23,1074,0.73,35870,0,1
Assumption,Assumption College,3.5,0.975378788,2407,97500.5,0.72,1180,0.78,36260,0,2
Niagara,Niagara University,3.4,0.964731815,3136,91240,0.6,1037,0.83,31950,0,2
Lasalle,La Salle University,3.3,0.914915428,3652,84808,0.57,990,0.77,29500,0,0
RWU,Roger Williams University,3.3,0.976269316,4902,82768.5,0.55,1200,0.79,33336,0,1
Hood,Hood College,3.5,0.936893204,1174,82285.5,0.5,1150,0.71,37960,0,2
Monmouth,Monmouth University,3.3,0.946256316,6371,78549,0.55,1037,0.77,36733,0,1
Wagner,Wagner College,3.6,0.951122853,2290,78396,0.64,1210,0.7,45380,0,1
Manhattan,Manhattan College,3.4,0.90513834,3637,77149.5,0.57,1097,0.71,40345,0,2
Towson,Towson University,3.6,0.87145452,19198,68700,0.46,1081,0.74,9694,1,1
Endicott,Endicott College,3.3,0.929824561,3290,65859,0.76,1160,0.79,32154,0,0
Arcadia,Arcadia University,3.6,0.955522609,2473,64835.5,0.58,1104,0.63,42330,0,2
Naz,Nazareth College,3.5,0.969125214,2159,62356,0.58,1150,0.72,32424,0,0
Springfield,Springfield College,3.2,0.965065502,2110,61331,0.63,1042,0.66,36535,0,2
LVC,Lebanon Valley College,3.7,0.965811966,1712,61011,0.72,1160,0.76,42180,0,2
SBU,St. Bonaventure University,3.4,0.94109589,1660,59120.5,0.53,1066,0.66,33301,0,1
Gannon,Gannon University,3.6,0.925233645,3098,57358.5,0.47,1035,0.78,30932,0,1
Rider,Rider University,3.3,0.951838426,4060,57288.5,0.58,1014,0.69,41310,0,2
Marist,Marist College,3.3,0.957435897,5616,56500,0.75,1255,0.41,36780,0,2
Salve,Salve Regina University,3.3,0.976766699,2124,55478.5,0.64,1180,0.68,38986,0,2